-8021636 38573632 77 73 24 Kaarel
-8763189 38802986 78 73 24 Kaarel
-9504521 39006785 72 81 24 Kaarel
-10156860 39123658 62 89 24 Kaarel
-10745514 39139960 55 96 24 Kaarel
-11281851 39067987 53 101 24 Kaarel
-11783851 38931593 50 113 24 Kaarel
-12203150 38684283 50 133 24 Kaarel
-12508767 38347893 50 149 24 Kaarel
-12672936 37964336 50 170 24 Kaarel
-12694268 37582464 50 187 24 Kaarel
-12641074 37215205 50 195 24 Kaarel
-12530818 36872117 50 201 24 Kaarel
-12413577 36531341 50 200 24 Kaarel
-12308257 36201708 50 200 24 Kaarel
-12199679 35891749 50 202 24 Kaarel
-12089872 35599307 50 203 24 Kaarel
-11989137 35325300 50 202 24 Kaarel
-11923175 35134824 50 200 24 Kaarel
-11891465 35039441 50 200 24 Kaarel
-11881430 35009347 50 200 24 Kaarel
99999999999999999999999 35009347 50 200 24 Kaarel
